,Waktu,pipi,alis,Pipi,Alis
307,21:28.7,55,450,0.268554688,2.197265625
308,21:28.7,54,444,0.263671875,2.16796875
309,21:28.7,54,440,0.263671875,2.1484375
310,21:28.7,53,441,0.258789063,2.153320313
311,21:28.7,52,440,0.25390625,2.1484375
312,21:28.7,52,440,0.25390625,2.1484375
313,21:28.7,53,450,0.258789063,2.197265625
314,21:28.7,54,459,0.263671875,2.241210938
315,21:28.7,53,469,0.258789063,2.290039063
316,21:28.7,52,475,0.25390625,2.319335938
317,21:28.7,54,490,0.263671875,2.392578125
318,21:28.7,53,496,0.258789063,2.421875
319,21:28.7,53,491,0.258789063,2.397460938
320,21:28.7,53,486,0.258789063,2.373046875
321,21:28.7,52,484,0.25390625,2.36328125
322,21:28.7,52,482,0.25390625,2.353515625
323,21:28.7,54,477,0.263671875,2.329101563
324,21:28.7,53,470,0.258789063,2.294921875
325,21:28.7,53,467,0.258789063,2.280273438
326,21:28.8,52,468,0.25390625,2.28515625
327,21:28.8,53,474,0.258789063,2.314453125
328,21:28.8,54,479,0.263671875,2.338867188
329,21:28.8,52,484,0.25390625,2.36328125
330,21:28.8,54,486,0.263671875,2.373046875
331,21:28.8,53,491,0.258789063,2.397460938
332,21:28.8,53,494,0.258789063,2.412109375
333,21:28.8,54,499,0.263671875,2.436523438
334,21:28.8,54,513,0.263671875,2.504882813
335,21:28.8,54,513,0.263671875,2.504882813
336,21:28.8,53,507,0.258789063,2.475585938
337,21:28.8,52,498,0.25390625,2.431640625
338,21:28.8,55,491,0.268554688,2.397460938
339,21:28.8,54,481,0.263671875,2.348632813
340,21:28.8,54,474,0.263671875,2.314453125
341,21:28.8,54,469,0.263671875,2.290039063
342,21:28.8,53,466,0.258789063,2.275390625
343,21:28.8,53,464,0.258789063,2.265625
344,21:28.8,53,461,0.258789063,2.250976563
345,21:28.8,53,462,0.258789063,2.255859375
346,21:28.8,54,463,0.263671875,2.260742188
347,21:28.8,53,464,0.258789063,2.265625
348,21:28.8,53,466,0.258789063,2.275390625
349,21:28.8,54,467,0.263671875,2.280273438
350,21:28.8,53,471,0.258789063,2.299804688
351,21:28.8,54,474,0.263671875,2.314453125
352,21:28.8,54,471,0.263671875,2.299804688
353,21:28.8,53,468,0.258789063,2.28515625
354,21:28.8,54,464,0.263671875,2.265625
355,21:28.9,54,465,0.263671875,2.270507813
356,21:28.9,54,468,0.263671875,2.28515625
357,21:28.9,54,478,0.263671875,2.333984375
358,21:28.9,53,495,0.258789063,2.416992188
359,21:28.9,55,505,0.268554688,2.465820313
360,21:28.9,54,500,0.263671875,2.44140625
361,21:28.9,53,488,0.258789063,2.3828125
362,21:28.9,54,479,0.263671875,2.338867188
363,21:28.9,53,478,0.258789063,2.333984375
364,21:28.9,52,478,0.25390625,2.333984375
365,21:28.9,53,474,0.258789063,2.314453125
366,21:28.9,53,478,0.258789063,2.333984375
367,21:28.9,53,484,0.258789063,2.36328125
368,21:28.9,53,491,0.258789063,2.397460938
369,21:28.9,52,508,0.25390625,2.48046875
370,21:28.9,54,527,0.263671875,2.573242188
371,21:28.9,53,530,0.258789063,2.587890625
372,21:28.9,53,526,0.258789063,2.568359375
373,21:28.9,53,521,0.258789063,2.543945313
374,21:28.9,52,525,0.25390625,2.563476563
375,21:28.9,53,528,0.258789063,2.578125
376,21:28.9,53,528,0.258789063,2.578125
377,21:28.9,53,524,0.258789063,2.55859375
378,21:28.9,53,521,0.258789063,2.543945313
379,21:28.9,52,522,0.25390625,2.548828125
380,21:28.9,53,527,0.258789063,2.573242188
381,21:28.9,53,530,0.258789063,2.587890625
382,21:28.9,52,530,0.25390625,2.587890625
383,21:28.9,53,530,0.258789063,2.587890625
384,21:28.9,53,532,0.258789063,2.59765625
385,21:29.0,52,539,0.25390625,2.631835938
386,21:29.0,53,548,0.258789063,2.67578125
387,21:29.0,53,559,0.258789063,2.729492188
388,21:29.0,53,562,0.258789063,2.744140625
